vendor,month,bucket_total,current_placement,xoro_says,match,diff_moves,unmapped,no_signal,action
"AT&T Mobility-Auto",2025-10,"$688.14","6352 Mobile Phone Expense: $688.14","","$0.00","","","$688.14","none"
"AT&T Mobility-Auto",2025-11,"$150.00","6352 Mobile Phone Expense: $150.00","","$0.00","","","$150.00","none"
"AT&T Mobility-Auto",2025-12,"$1,111.28","6352 Mobile Phone Expense: $1,111.28","","$0.00","","","$1,111.28","none"
"AT&T Mobility-Auto",2026-01,"$472.24","6352 Mobile Phone Expense: $472.24","","$0.00","","","$472.24","none"
"AT&T Mobility-Auto",2026-02,"$588.91","6352 Mobile Phone Expense: $588.91","","$0.00","","","$588.91","none"
"AT&T Mobility-Auto",2026-03,"$925.42","6352 Mobile Phone Expense: $925.42","","$0.00","","","$925.42","none"
"AT&T Mobility-Auto",2026-04,"$413.14","6352 Mobile Phone Expense: $413.14","","$0.00","","","$413.14","none"
"Aaron S. Yun",2024-09,"$870.00","6130 Contractors: $870.00","","$0.00","","","$870.00","none"
"Aaron S. Yun",2024-10,"$435.00","6130 Contractors: $435.00","","$0.00","","","$435.00","none"
"Aaron S. Yun",2024-11,"$435.00","6130 Contractors: $435.00","","$0.00","","","$435.00","none"
"Aaron S. Yun",2024-12,"$435.00","6130 Contractors: $435.00","","$0.00","","","$435.00","none"
"Aaron S. Yun",2025-01,"$435.00","6130 Contractors: $435.00","","$0.00","","","$435.00","none"
"Aaron S. Yun",2025-02,"$435.00","6130 Contractors: $435.00","","$0.00","","","$435.00","none"
"Aaron S. Yun",2025-03,"$435.00","6130 Contractors: $435.00","","$0.00","","","$435.00","none"
"Aaron S. Yun",2025-04,"$544.00","6130 Contractors: $544.00","","$0.00","","","$544.00","none"
"Aaron S. Yun",2025-05,"$585.00","6130 Contractors: $585.00","","$0.00","","","$585.00","none"
"Aaron S. Yun",2025-06,"$435.00","6130 Contractors: $435.00","","$0.00","","","$435.00","none"
"Aaron S. Yun",2025-07,"$435.00","6130 Contractors: $435.00","","$0.00","","","$435.00","none"
"Aaron S. Yun",2025-08,"$435.00","6130 Contractors: $435.00","","$0.00","","","$435.00","none"
"Aaron S. Yun",2025-09,"$435.00","6130 Contractors: $435.00","","$0.00","","","$435.00","none"
"Aaron S. Yun",2025-10,"$475.01","6130 Contractors: $475.01","","$0.00","","","$475.01","none"
"Aaron S. Yun",2025-11,"$764.25","6130 Contractors: $764.25","","$0.00","","","$764.25","none"
"Aaron S. Yun",2025-12,"$460.00","6130 Contractors: $460.00","","$0.00","","","$460.00","none"
"Aaron S. Yun",2026-01,"$435.00","6130 Contractors: $435.00","","$0.00","","","$435.00","none"
"Aaron S. Yun",2026-02,"$435.00","6130 Contractors: $435.00","","$0.00","","","$435.00","none"
"Aaron S. Yun",2026-03,"$1,220.97","6130 Contractors: $1,220.97","","$0.00","","","$1,220.97","none"
"Aaron S. Yun",2026-04,"$536.05","6130 Contractors: $536.05","","$0.00","","","$536.05","none"
"Aaron S. Yun",2026-05,"$495.88","6130 Contractors: $495.88","","$0.00","","","$495.88","none"
"Abercrombie & Fitch",2024-12,"$142.35","5206 Samples Expense: $142.35","","$0.00","","","$142.35","none"
"Abercrombie & Fitch",2025-08,"$76.83","5206 Samples Expense: $76.83","","$0.00","","","$76.83","none"
"Access 3898 Inc.",2026-05,"$2,408.28","1201 Inventory - ROF: $2,408.28","1201 Inventory - ROF: $2,408.28","$2,408.28","","","$0.00","none"
"Accordia Life and Annuity Company",2025-01,"$711.00","8007 Uncategorized Expense: $711.00","","$0.00","","","$711.00","none"
"Accordia Life and Annuity Company",2025-02,"$711.00","8007 Uncategorized Expense: $711.00","","$0.00","","","$711.00","none"
"Accordia Life and Annuity Company",2025-05,"$711.00","8007 Uncategorized Expense: $711.00","","$0.00","","","$711.00","none"
"Accordia Life and Annuity Company",2025-08,"$711.00","8007 Uncategorized Expense: $711.00","","$0.00","","","$711.00","none"
"Accordia Life and Annuity Company",2025-11,"$711.00","8007 Uncategorized Expense: $711.00","","$0.00","","","$711.00","none"
"Accordia Life and Annuity Company",2026-02,"$711.00","8007 Uncategorized Expense: $711.00","","$0.00","","","$711.00","none"
"Ace Parking",2024-10,"$5.00","6370 Travel: $5.00","","$0.00","","","$5.00","none"
"Ace Parking",2025-10,"$3.25","6370 Travel: $3.25","","$0.00","","","$3.25","none"
"Action Carting Environmental Services, Inc.",2026-01,"$244.97","6310 Cleaning and Maintenance Expens: $244.97","","$0.00","","","$244.97","none"
"Action Carting Environmental Services, Inc.",2026-02,"$489.94","6310 Cleaning and Maintenance Expens: $489.94","","$0.00","","","$489.94","none"
"Action Carting Environmental Services, Inc.",2026-03,"$244.97","6310 Cleaning and Maintenance Expens: $244.97","","$0.00","","","$244.97","none"
"Action Carting Environmental Services, Inc.",2026-04,"$244.97","6310 Cleaning and Maintenance Expens: $244.97","","$0.00","","","$244.97","none"
"Action Carting Environmental Services, Inc.",2026-05,"$244.97","6310 Cleaning and Maintenance Expens: $244.97","","$0.00","","","$244.97","none"
"Alamo",2025-01,"$277.25","6370 Travel: $277.25","","$0.00","","","$277.25","none"
"Alessa Cucina & Bar",2025-09,"$103.84","6349 Meals & Entertainment: $103.84","","$0.00","","","$103.84","none"
"Amazon",2024-10,"$20.78","6354 Office Supplies Expense: $20.78","","$0.00","","","$20.78","none"
"Amazon",2024-11,"$1,109.62","6354 Office Supplies Expense: $1,109.62","","$0.00","","","$1,109.62","none"
"Amazon",2024-12,"$358.13","6354 Office Supplies Expense: $358.13","","$0.00","","","$358.13","none"
"Amazon",2025-01,"$192.27","6354 Office Supplies Expense: $192.27","","$0.00","","","$192.27","none"
"Amazon",2025-02,"$15.32","6354 Office Supplies Expense: $15.32","","$0.00","","","$15.32","none"
"Amazon",2025-03,"$7.65","6354 Office Supplies Expense: $7.65","","$0.00","","","$7.65","none"
"Amazon",2025-05,"$71.26","6354 Office Supplies Expense: $71.26","","$0.00","","","$71.26","none"
"Amazon",2025-09,"$266.97","6354 Office Supplies Expense: $266.97","","$0.00","","","$266.97","none"
"Amazon",2025-10,"$146.06","6354 Office Supplies Expense: $146.06","","$0.00","","","$146.06","none"
"Amazon",2025-11,"$45.51","6354 Office Supplies Expense: $45.51","","$0.00","","","$45.51","none"
"American Airlines",2025-04,"$2,315.97","6303 Air Fare Expense: $2,315.97","","$0.00","","","$2,315.97","none"
"American General Life Insurance Company",2024-12,"$597.31","8007 Uncategorized Expense: $597.31","","$0.00","","","$597.31","none"
"American General Life Insurance Company",2025-03,"$597.31","8007 Uncategorized Expense: $597.31","","$0.00","","","$597.31","none"
"American General Life Insurance Company",2025-06,"$597.31","8007 Uncategorized Expense: $597.31","","$0.00","","","$597.31","none"
"American General Life Insurance Company",2025-09,"$597.31","8007 Uncategorized Expense: $597.31","","$0.00","","","$597.31","none"
"American General Life Insurance Company",2025-12,"$597.31","8007 Uncategorized Expense: $597.31","","$0.00","","","$597.31","none"
"American General Life Insurance Company",2026-03,"$597.31","8007 Uncategorized Expense: $597.31","","$0.00","","","$597.31","none"
"Amtrust",2024-08,"$26,798.00","6339 Workers' Comp Insurance: $26,798.00","","$0.00","","Other Miscellaneous Expense: $26,798.00","$0.00","none"
"Amtrust",2024-09,"$1,518.00","6339 Workers' Comp Insurance: $1,518.00","","$0.00","","","$1,518.00","none"
"Amtrust",2024-10,"$1,518.00","6339 Workers' Comp Insurance: $1,518.00","","$0.00","","","$1,518.00","none"
"Amtrust",2024-11,"$1,503.00","6339 Workers' Comp Insurance: $1,503.00","","$0.00","","","$1,503.00","none"
"Amtrust",2024-12,"$1,538.00","6339 Workers' Comp Insurance: $1,538.00","","$0.00","","","$1,538.00","none"
"Amtrust",2025-01,"$1,518.00","6339 Workers' Comp Insurance: $1,518.00","","$0.00","","","$1,518.00","none"
"Amtrust",2025-02,"$1,518.00","6339 Workers' Comp Insurance: $1,518.00","","$0.00","","","$1,518.00","none"
"Amtrust",2025-03,"$1,518.00","6339 Workers' Comp Insurance: $1,518.00","","$0.00","","","$1,518.00","none"
"Amtrust",2025-05,"$1,018.00","6339 Workers' Comp Insurance: $1,018.00","","$0.00","","","$1,018.00","none"
"Amtrust",2025-07,"$1,092.00","6339 Workers' Comp Insurance: $1,092.00","","$0.00","","","$1,092.00","none"
"Amtrust",2025-08,"$2,131.00","6339 Workers' Comp Insurance: $2,131.00","","$0.00","","","$2,131.00","none"
"Ana V Salcedo",2024-09,"$300.00","6130 Contractors: $300.00","","$0.00","","","$300.00","none"
"Ana V Salcedo",2024-10,"$300.00","6130 Contractors: $300.00","","$0.00","","","$300.00","none"
"Ana V Salcedo",2024-11,"$300.00","6130 Contractors: $300.00","","$0.00","","","$300.00","none"
"Ana V Salcedo",2024-12,"$225.00","6130 Contractors: $225.00","","$0.00","","","$225.00","none"
"Ana V Salcedo",2025-01,"$300.00","6130 Contractors: $300.00","","$0.00","","","$300.00","none"
"Ana V Salcedo",2025-02,"$300.00","6130 Contractors: $300.00","","$0.00","","","$300.00","none"
"Ana V Salcedo",2025-03,"$849.30","6130 Contractors: $849.30","","$0.00","","","$849.30","none"
"Ana V Salcedo",2025-04,"$340.07","6130 Contractors: $340.07","","$0.00","","","$340.07","none"
"Ana V Salcedo",2025-06,"$300.00","6130 Contractors: $300.00","","$0.00","","","$300.00","none"
"Ana V Salcedo",2025-07,"$300.00","6130 Contractors: $300.00","","$0.00","","","$300.00","none"
"Ana V Salcedo",2025-08,"$300.00","6130 Contractors: $300.00","","$0.00","","","$300.00","none"
"Ana V Salcedo",2025-09,"$300.00","6130 Contractors: $300.00","","$0.00","","","$300.00","none"
"Ana V Salcedo",2025-10,"$300.00","6130 Contractors: $300.00","","$0.00","","","$300.00","none"
"Ana V Salcedo",2025-11,"$300.00","6130 Contractors: $300.00","","$0.00","","","$300.00","none"
"Ana V Salcedo",2025-12,"$232.04","6130 Contractors: $232.04","","$0.00","","","$232.04","none"
"Ana V Salcedo",2026-01,"$211.58","6130 Contractors: $211.58","","$0.00","","","$211.58","none"
"Ana V Salcedo",2026-02,"$294.84","6130 Contractors: $294.84","","$0.00","","","$294.84","none"
"Ana V Salcedo",2026-03,"$237.04","6130 Contractors: $237.04","","$0.00","","","$237.04","none"
"Ana V Salcedo",2026-04,"$300.00","6130 Contractors: $300.00","","$0.00","","","$300.00","none"
"Ana V Salcedo",2026-05,"$366.36","6130 Contractors: $366.36","","$0.00","","","$366.36","none"
"Analia Escalada",2025-07,"$320.00","6130 Contractors: $320.00","","$0.00","","","$320.00","none"
"Analia Escalada",2025-10,"$160.00","6130 Contractors: $160.00","","$0.00","","","$160.00","none"
"Anhui Taihe Jiarun Garment Co Ltd",2024-08,"$14,012.64","8007 Uncategorized Expense: $14,012.64","","$0.00","","","$14,012.64","none"
"Apple.com",2024-11,"$2,774.26","6312 Computer Hardware Expense: $2,774.26","","$0.00","","","$2,774.26","none"
"Armando Carlos",2026-01,"$38.38","6130 Contractors: $38.38","","$0.00","","","$38.38","none"
"Armando Carlos",2026-02,"$99.35","6130 Contractors: $99.35","","$0.00","","","$99.35","none"
"Armando Carlos",2026-05,"$101.67","6130 Contractors: $101.67","","$0.00","","","$101.67","none"
"Armando J Carlos",2024-11,"$224.27","6130 Contractors: $224.27","","$0.00","","","$224.27","none"
"Armando J Carlos",2025-01,"$30.53","6130 Contractors: $30.53","","$0.00","","","$30.53","none"
"Armando J Carlos",2025-03,"$32.42","6130 Contractors: $32.42","","$0.00","","","$32.42","none"
"Armando J Carlos",2025-06,"$23.01","6130 Contractors: $23.01","","$0.00","","","$23.01","none"
"Armando J Carlos",2025-07,"$106.56","6130 Contractors: $106.56","","$0.00","","","$106.56","none"
"Armando J Carlos",2025-08,"$46.25","6130 Contractors: $46.25","","$0.00","","","$46.25","none"
"Armando J Carlos",2025-09,"$16.44","6130 Contractors: $16.44","","$0.00","","","$16.44","none"
"Armando J Carlos",2025-10,"$7.67","6130 Contractors: $7.67","","$0.00","","","$7.67","none"
"Attentive Mobile Inc.",2024-09,"$205.26","6601 Advertising & Marketing: $205.26","","$0.00","","","$205.26","none"
"Attentive Mobile Inc.",2024-10,"$106.83","6601 Advertising & Marketing: $106.83","","$0.00","","","$106.83","none"
"Attentive Mobile Inc.",2024-11,"$384.55","6601 Advertising & Marketing: $384.55","","$0.00","","","$384.55","none"
"Attentive Mobile Inc.",2024-12,"$374.46","6601 Advertising & Marketing: $374.46","","$0.00","","","$374.46","none"
"Attentive Mobile Inc.",2025-01,"$799.35","6601 Advertising & Marketing: $799.35","","$0.00","","","$799.35","none"
"Attentive Mobile Inc.",2025-02,"$419.88","6601 Advertising & Marketing: $419.88","","$0.00","","","$419.88","none"
"Attentive Mobile Inc.",2025-03,"$442.49","6601 Advertising & Marketing: $442.49","","$0.00","","","$442.49","none"
"Attentive Mobile Inc.",2025-04,"$791.17","6601 Advertising & Marketing: $791.17","","$0.00","","","$791.17","none"
"Attentive Mobile Inc.",2025-05,"$444.62","6601 Advertising & Marketing: $444.62","","$0.00","","","$444.62","none"
"Attentive Mobile Inc.",2025-06,"$528.21","6601 Advertising & Marketing: $528.21","","$0.00","","","$528.21","none"
"Attentive Mobile Inc.",2025-07,"$736.23","6601 Advertising & Marketing: $736.23","","$0.00","","","$736.23","none"
"Attentive Mobile Inc.",2025-08,"$577.00","6601 Advertising & Marketing: $577.00","","$0.00","","","$577.00","none"
"Attentive Mobile Inc.",2025-09,"$532.44","6601 Advertising & Marketing: $532.44","","$0.00","","","$532.44","none"
"Attentive Mobile Inc.",2025-10,"$643.21","6601 Advertising & Marketing: $643.21","","$0.00","","","$643.21","none"
"Attentive Mobile Inc.",2025-11,"$872.27","6601 Advertising & Marketing: $872.27","","$0.00","","","$872.27","none"
"Attentive Mobile Inc.",2025-12,"$611.02","6601 Advertising & Marketing: $611.02","","$0.00","","","$611.02","none"
"Attentive Mobile Inc.",2026-01,"$642.66","6601 Advertising & Marketing: $642.66","","$0.00","","","$642.66","none"
"Attentive Mobile Inc.",2026-02,"$636.88","6601 Advertising & Marketing: $636.88","","$0.00","","","$636.88","none"
"Attentive Mobile Inc.",2026-03,"$632.49","6601 Advertising & Marketing: $632.49","","$0.00","","","$632.49","none"
"Attentive Mobile Inc.",2026-04,"$1,102.09","6601 Advertising & Marketing: $1,102.09","","$0.00","","","$1,102.09","none"
"Avery Dennison",2025-09,"$3,281.12","6374 Warehouse Supplies Expense: $3,281.12","","$0.00","","","$3,281.12","none"
"Avery Dennison",2025-10,"$4,062.54","6374 Warehouse Supplies Expense: $4,062.54","","$0.00","","","$4,062.54","none"
"Avery Dennison",2025-11,"$12,884.89","6374 Warehouse Supplies Expense: $12,884.89","","$0.00","","","$12,884.89","none"
"Avery Dennison",2025-12,"$1,684.74","6374 Warehouse Supplies Expense: $1,684.74","","$0.00","","","$1,684.74","none"
"Avery Dennison",2026-01,"$6,440.74","6374 Warehouse Supplies Expense: $6,440.74","","$0.00","","","$6,440.74","none"
"Avery Dennison",2026-02,"$13,069.64","6374 Warehouse Supplies Expense: $13,069.64","","$0.00","","","$13,069.64","none"
"Avery Dennison",2026-03,"$0.53","6374 Warehouse Supplies Expense: $0.53","","$0.00","","","$0.53","none"
"Avery Dennison",2026-04,"$1,460.17","6374 Warehouse Supplies Expense: $1,460.17","","$0.00","","","$1,460.17","none"
"Avery Dennison",2026-05,"$9,082.79","6374 Warehouse Supplies Expense: $9,082.79","","$0.00","","","$9,082.79","none"
"Aztlan Trading Inc.",2026-05,"$810.00","8007 Uncategorized Expense: $810.00","","$0.00","","","$810.00","none"
"BH Photo",2025-09,"$46.64","6603 Photo Equipment Expense: $46.64","","$0.00","","","$46.64","none"
"Bandl Fashion LLC",2026-06,"$3,780.00","1201 Inventory - ROF: $3,780.00","1201 Inventory - ROF: $3,780.00","$3,780.00","","","$0.00","none"
"Banner Health",2025-02,"$101.96","6338 Medical Insurance Expense: $101.96","","$0.00","","","$101.96","none"
"Banner Health",2025-03,"$330.00","6338 Medical Insurance Expense: $330.00","","$0.00","","","$330.00","none"
"Banner Life Insurance Company",2024-10,"$743.60","8007 Uncategorized Expense: $743.60","","$0.00","","","$743.60","none"
"Banner Life Insurance Company",2025-01,"$743.60","8007 Uncategorized Expense: $743.60","","$0.00","","","$743.60","none"
"Banner Life Insurance Company",2025-05,"$743.60","8007 Uncategorized Expense: $743.60","","$0.00","","","$743.60","none"
"Banner Life Insurance Company",2025-07,"$743.60","8007 Uncategorized Expense: $743.60","","$0.00","","","$743.60","none"
"Bentley Financial Services",2026-03,"$3,451.79","6304 Auto Expense: $3,451.79","","$0.00","","","$3,451.79","none"
"Bentley Financial Services",2026-04,"$3,451.79","6304 Auto Expense: $3,451.79","","$0.00","","","$3,451.79","none"
"BevMo!",2024-10,"$67.81","6349 Meals & Entertainment: $67.81","","$0.00","","","$67.81","none"
"BevMo!",2025-08,"$78.72","6349 Meals & Entertainment: $78.72","","$0.00","","","$78.72","none"
"BevMo!",2025-09,"$110.15","6349 Meals & Entertainment: $110.15","","$0.00","","","$110.15","none"
"BevMo!",2025-10,"$84.16","6349 Meals & Entertainment: $84.16","","$0.00","","","$84.16","none"
"Bien Roulee Fashion",2026-01,"$760.00","8007 Uncategorized Expense: $760.00","","$0.00","","","$760.00","none"
"Bien Roulee Fashion",2026-02,"$440.00","8007 Uncategorized Expense: $440.00","","$0.00","","","$440.00","none"
"Bitton & Associates",2024-10,"$10,000.00","8007 Uncategorized Expense: $10,000.00","","$0.00","","","$10,000.00","none"
"Bitton & Associates",2024-11,"$10,000.00","8007 Uncategorized Expense: $10,000.00","","$0.00","","","$10,000.00","none"
"Bitton & Associates",2025-01,"$10,000.00","8007 Uncategorized Expense: $10,000.00","","$0.00","","","$10,000.00","none"
"Bitton & Associates",2025-02,"$10,000.00","8007 Uncategorized Expense: $10,000.00","","$0.00","","","$10,000.00","none"
"Bitton & Associates",2025-03,"$10,000.00","8007 Uncategorized Expense: $10,000.00","","$0.00","","","$10,000.00","none"
"Bitton & Associates",2025-04,"$10,000.00","8007 Uncategorized Expense: $10,000.00","","$0.00","","","$10,000.00","none"
"Bitton & Associates",2025-05,"$10,000.00","8007 Uncategorized Expense: $10,000.00","","$0.00","","","$10,000.00","none"
"Bitton & Associates",2025-06,"$10,000.00","8007 Uncategorized Expense: $10,000.00","","$0.00","","","$10,000.00","none"
"Blue Shield CA",2024-09,"$3,448.93","6338 Medical Insurance Expense: $3,448.93","","$0.00","","","$3,448.93","none"
"Blue Shield CA",2024-10,"$3,448.93","6338 Medical Insurance Expense: $3,448.93","","$0.00","","","$3,448.93","none"
"Blue Shield CA",2024-11,"$3,448.93","6338 Medical Insurance Expense: $3,448.93","","$0.00","","","$3,448.93","none"
"Blue Shield CA",2024-12,"$3,448.93","6338 Medical Insurance Expense: $3,448.93","","$0.00","","","$3,448.93","none"
"Blue Shield CA",2025-01,"$3,847.33","6338 Medical Insurance Expense: $3,847.33","","$0.00","","","$3,847.33","none"
"Blue Shield CA",2025-02,"$3,847.33","6338 Medical Insurance Expense: $3,847.33","","$0.00","","","$3,847.33","none"
"Blue Shield CA",2025-03,"$2,831.84","6338 Medical Insurance Expense: $2,831.84","","$0.00","","","$2,831.84","none"
"Blue Shield CA",2025-04,"$3,847.33","6338 Medical Insurance Expense: $3,847.33","","$0.00","","","$3,847.33","none"
"Blue Shield CA",2025-05,"$3,847.33","6338 Medical Insurance Expense: $3,847.33","","$0.00","","","$3,847.33","none"
"Blue Shield CA",2025-06,"$2,831.84","6338 Medical Insurance Expense: $2,831.84","","$0.00","","","$2,831.84","none"
"Blue Shield CA",2025-07,"$2,831.84","6338 Medical Insurance Expense: $2,831.84","","$0.00","","","$2,831.84","none"
"Blue Shield CA",2025-08,"$3,847.33","6338 Medical Insurance Expense: $3,847.33","","$0.00","","","$3,847.33","none"
"Blue Shield CA",2025-09,"$7,694.66","6338 Medical Insurance Expense: $7,694.66","","$0.00","","","$7,694.66","none"
"Blue Shield CA",2025-11,"$3,847.33","6338 Medical Insurance Expense: $3,847.33","","$0.00","","","$3,847.33","none"
"Blue Shield CA",2025-12,"$3,881.63","6338 Medical Insurance Expense: $3,881.63","","$0.00","","","$3,881.63","none"
"Blue Shield CA",2026-01,"$3,776.38","6338 Medical Insurance Expense: $3,776.38","","$0.00","","","$3,776.38","none"
"Blue Shield CA",2026-02,"$3,776.38","6338 Medical Insurance Expense: $3,776.38","","$0.00","","","$3,776.38","none"
"Blue Shield CA",2026-03,"$3,776.38","6338 Medical Insurance Expense: $3,776.38","6338 Medical Insurance Expense: $35.30","$35.30","","","$3,741.08","none"
"Blue Shield CA",2026-04,"$3,741.08","6338 Medical Insurance Expense: $3,741.08","","$0.00","","","$3,741.08","none"
"Blue Shield CA",2026-05,"$3,741.08","6338 Medical Insurance Expense: $3,741.08","","$0.00","","","$3,741.08","none"
"Blue Shield CA",2026-06,"$3,741.08","6338 Medical Insurance Expense: $3,741.08","","$0.00","","","$3,741.08","none"
"Blue Shield CA",2026-07,"$3,741.08","6338 Medical Insurance Expense: $3,741.08","","$0.00","","","$3,741.08","none"
"Booking.com",2025-02,"$1,499.14","6332 Hotel Expense: $1,499.14","","$0.00","","","$1,499.14","none"
"Brand Model & Talent Agency, Inc",2024-08,"$624.00","6719 Website Model Expense: $624.00","","$0.00","","","$624.00","none"
"Brand Model & Talent Agency, Inc",2025-01,"$603.00","6719 Website Model Expense: $603.00","","$0.00","","","$603.00","none"
"Brothers Products",2025-08,"$28.50","8007 Uncategorized Expense: $28.50","","$0.00","","","$28.50","none"
"CNX America Corp.",2025-02,"$5,881.29","8007 Uncategorized Expense: $5,881.29","","$0.00","","","$5,881.29","none"
"CNX America Corp.",2025-11,"$1,580.00","8007 Uncategorized Expense: $1,580.00","","$0.00","","","$1,580.00","none"
"CNX America Corp.",2025-12,"$1,430.00","8007 Uncategorized Expense: $1,430.00","","$0.00","","","$1,430.00","none"
"CNX America Corp.",2026-01,"$209,690.17","8007 Uncategorized Expense: $209,690.17","","$0.00","","","$209,690.17","none"
"CNX America Corp.",2026-02,"$136,913.72","8007 Uncategorized Expense: $136,913.72","","$0.00","","","$136,913.72","none"
"CSL Express Line",2024-08,"$765.20","5401 Freight Expense: $765.20","","$0.00","","Other Miscellaneous Expense: $255.00","$510.20","none"
"CSL Express Line",2024-09,"$255.00","5401 Freight Expense: $255.00","","$0.00","","","$255.00","none"
"CSL Express Line",2024-10,"$255.00","5401 Freight Expense: $255.00","","$0.00","","","$255.00","none"
"CSL Express Line",2024-11,"$510.00","5401 Freight Expense: $510.00","","$0.00","","","$510.00","none"
"CSL Express Line",2024-12,"$450.00","5401 Freight Expense: $450.00","","$0.00","","","$450.00","none"
"CSL Express Line",2025-03,"$765.00","5401 Freight Expense: $765.00","","$0.00","","","$765.00","none"
"CSL Express Line",2025-04,"$255.00","5401 Freight Expense: $255.00","","$0.00","","","$255.00","none"
"CSL Express Line",2025-05,"$255.00","5401 Freight Expense: $255.00","","$0.00","","","$255.00","none"
